
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set FRONT_READ and time  0.1000000E+01

         1  8.565356E-03  3.172050E+00  4.099295E+00
         3 -8.565356E-03  3.172050E+00 -4.099295E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL_MEMBERS and time  0.1000000E+01

        14   3  3.070828E-13 -8.792147E-10  1.359374E-13  1.360465E-14 -2.807147E-15  1.932799E-14
        14   4  1.227504E-13 -8.792674E-10 -8.832887E-15  1.801444E-14 -2.144532E-14  4.259664E-14
        14   5 -2.233566E-14 -8.819095E-10 -1.968653E-13  8.162791E-15 -4.563462E-14  6.755414E-15
        14   6 -1.786722E-13 -8.818530E-10 -6.158248E-15 -1.782679E-14  1.481475E-14  3.753008E-15
        14   7  2.085482E-13 -8.782626E-10 -2.120737E-13  1.923416E-14  8.078109E-15  8.819568E-15
        14   8  1.870816E-13 -8.781458E-10  4.513841E-14  2.251805E-14 -5.218821E-14  7.881316E-15
        15   1 -6.324842E-14 -7.603090E-14 -4.792347E+00 -3.160271E-13  4.315959E-14  2.476985E-14
        15   2  6.770701E-14  7.688494E-15 -4.792347E+00 -4.475457E-14 -3.978188E-14 -7.280835E-14
        15   3 -2.531574E-13 -8.678860E-13 -4.792347E+00 -2.845816E-13  4.353489E-14 -3.452767E-14
        15   4  3.185379E-13  2.403262E-13 -4.792347E+00 -1.449835E-13 -3.846833E-14  8.256617E-14
        15   5  1.510756E-13  9.486334E-14 -4.792347E+00 -4.864252E-13 -4.503609E-15  1.801444E-14
        15   6 -1.406564E-13 -7.002905E-14 -4.792347E+00  6.760196E-14  1.092125E-13 -7.205774E-14
        15   7 -1.068947E-13 -8.713225E-13 -4.792347E+00 -4.667289E-13 -8.444267E-15 -3.452767E-14
        15   8  9.856863E-14  1.279211E-13 -4.792347E+00 -1.754904E-14  1.063978E-13  7.506015E-14
        16   1  3.398891E-15 -2.676322E-13  4.792347E+00 -2.309440E-13 -5.854692E-14 -2.326865E-14
        16   2 -1.636506E-13  9.069478E-14  4.792347E+00 -4.738444E-14  8.350442E-14  1.005806E-13
        16   3  2.172177E-13 -2.566910E-13  4.792347E+00 -2.455966E-13 -6.004812E-14  3.002406E-14
        16   4 -1.578092E-13 -3.904928E-13  4.792347E+00 -1.740989E-14  8.125261E-14  5.254211E-14
        16   5  4.466013E-15 -2.613576E-13  4.792347E+00 -1.405880E-13  2.589575E-14 -2.101684E-14
        16   6 -4.729532E-14  4.499374E-14  4.792347E+00 -2.299491E-14  5.760867E-14  9.307459E-14
        16   7  1.345179E-13 -4.481435E-13  4.792347E+00 -1.439349E-13  2.401925E-14  2.101684E-14
        16   8 -3.793870E-14 -4.275775E-13  4.792347E+00  5.313582E-15  5.835927E-14  5.179150E-14
        17   1 -7.723611E-14  3.502616E+00  4.578271E-01  9.403629E-14 -1.188061E-14 -1.266330E+00
        17   2  7.694978E-14  3.502616E+00  4.578271E-01 -2.720930E-15  5.379702E-14 -1.266330E+00
        17   3  7.333075E-14  3.502616E+00  4.578271E-01 -6.753068E-14  2.234212E-14 -1.266330E+00
        17   4 -2.723403E-13  3.502616E+00  4.578271E-01 -1.362811E-14  5.172113E-15 -1.266330E+00
        17   5 -7.404807E-14  3.502616E+00  4.578271E-01  6.302707E-14 -8.758581E-14 -1.266330E+00
        17   6  1.018820E-13  3.502616E+00  4.578271E-01 -1.876504E-15  1.112649E-13 -1.266330E+00
        17   7  6.749323E-14  3.502616E+00  4.578271E-01 -8.831296E-14 -5.040758E-14 -1.266330E+00
        17   8 -2.555829E-13  3.502616E+00  4.578271E-01 -8.678830E-15  6.419988E-14 -1.266330E+00
        18   1 -5.253906E-14 -3.502616E+00 -4.578271E-01 -1.439513E-13 -1.172815E-16 -1.266330E+00
        18   2  3.342894E-14 -3.502616E+00 -4.578271E-01 -1.329034E-13 -2.383160E-14 -1.266330E+00
        18   3 -4.633003E-14 -3.502616E+00 -4.578271E-01  2.214274E-14  4.491881E-14 -1.266330E+00
        18   4  2.922313E-14 -3.502616E+00 -4.578271E-01 -1.148655E-13 -3.043455E-14 -1.266330E+00
        18   5 -6.126262E-14 -3.502616E+00 -4.578271E-01 -1.618484E-13 -1.050842E-14 -1.266330E+00
        18   6 -5.577776E-15 -3.502616E+00 -4.578271E-01 -1.438575E-13 -1.910515E-14 -1.266330E+00
        18   7 -7.064690E-14 -3.502616E+00 -4.578271E-01  2.397234E-14  3.252216E-14 -1.266330E+00
        18   8 -1.371742E-14 -3.502616E+00 -4.578271E-01 -1.178679E-13 -2.245940E-14 -1.266330E+00
        19   1  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
        19   2  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
        19   3  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
        19   4  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
        19   5  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
        19   6  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
