crank_angle_deg,cycle_time_s,cantera_pressure_pa_abs_min,cantera_pressure_pa_abs_max,wiebe_pressure_pa_abs_min,wiebe_pressure_pa_abs_max,cross_model_pressure_pa_abs_min,cross_model_pressure_pa_abs_max,cantera_pressure_gauge_pa_min,cantera_pressure_gauge_pa_max,wiebe_pressure_gauge_pa_min,wiebe_pressure_gauge_pa_max,cross_model_pressure_gauge_pa_min,cross_model_pressure_gauge_pa_max,cantera_temperature_k_min,cantera_temperature_k_max,wiebe_temperature_k_min,wiebe_temperature_k_max,cross_model_temperature_k_min,cross_model_temperature_k_max,cantera_h_gas_w_m2_k_min,cantera_h_gas_w_m2_k_max,wiebe_h_gas_w_m2_k_min,wiebe_h_gas_w_m2_k_max,cross_model_h_gas_w_m2_k_min,cross_model_h_gas_w_m2_k_max,cantera_wall_heat_flux_w_m2_min,cantera_wall_heat_flux_w_m2_max,wiebe_wall_heat_flux_w_m2_min,wiebe_wall_heat_flux_w_m2_max,cross_model_wall_heat_flux_w_m2_min,cross_model_wall_heat_flux_w_m2_max
392,0.007259259259,8743563.07062,10405085.0139,7263669.01588,8719170.61994,7263669.01588,10405085.0139,8642238.07062,10303760.0139,7162344.01588,8617845.61994,7162344.01588,10303760.0139,2565.41412643,2617.10518854,2290.64519,2342.0712883,2290.64519,2617.10518854,2709.428853152,3083.63251454,2481.532335869,2838.342701565,2481.532335869,3083.63251454,5668580.5882,6600607.70943,4505582.24945,5299388.16444,4505582.24945,6600607.70943
393,0.007277777778,8461371.25196,10068947.1168,7146413.69428,8574044.47668,7146413.69428,10068947.1168,8360046.25196,9967622.1168,7045088.69428,8472719.47668,7045088.69428,9967622.1168,2550.43241515,2602.33904984,2314.99654704,2366.40342931,2314.99654704,2602.33904984,2647.400968605,3012.749854207,2435.743693319,2785.186474188,2435.743693319,3012.749854207,5498977.12116,6404171.24026,4481759.98518,5267911.24854,4481759.98518,6404171.24026
394,0.007296296296,8188612.86545,9744133.83874,7020184.08637,8418252.54529,7020184.08637,9744133.83874,8087287.86545,9642808.83874,6918859.08637,8316927.545290001,6918859.08637,9642808.83874,2535.49692567,2587.62302296,2335.86994501,2387.13676575,2335.86994501,2587.62302296,2586.898420923,2943.6283815,2389.867150034,2731.966305935,2389.867150034,2943.6283815,5334512.18391,6213709.92372,4447231.95207,5223893.21636,4447231.95207,6213709.92372
395,0.007314814815,7925214.61597,9430547.81957,6886251.62921,8253389.18957,6886251.62921,9430547.81957,7823889.61597,9329222.81957,6784926.62921,8152064.18957,6784926.62921,9329222.81957,2520.62110262,2572.96991284,2353.35280236,2404.37733125,2353.35280236,2572.96991284,2527.938806416,2876.286860277,2344.039512434,2678.842726381,2344.039512434,2876.286860277,5175178.33893,6029210.92022,4402933.18703,5168498.43025,4402933.18703,6029210.92022
396,0.007333333333,7670856.47229,9128042.90757,6745886.2959,8081034.04256,6745886.2959,9128042.90757,7569531.47229,9026717.90757,6644561.2959,7979709.04256,6644561.2959,9026717.90757,2505.8172432,2558.39135644,2367.56902458,2418.26731247,2367.56902458,2558.39135644,2470.530980502,2810.733797834,2298.38912253,2625.965496716,2298.38912253,2810.733797834,5020943.77747,5850632.88159,4349860.05974,5102952.91344,4349860.05974,5850632.88159
397,0.007351851852,7425337.95278,8836433.1696,6600334.94649,7902726.2884,6600334.94649,8836433.1696,7324012.95278,8735108.1696,6499009.94649,7801401.2884,6499009.94649,8735108.1696,2491.09660386,2543.89791536,2378.67417968,2428.97982072,2378.67417968,2543.89791536,2414.675982688,2746.968966465,2253.035322962,2573.473082597,2253.035322962,2746.968966465,4871755.7924,5677910.63858,4289045.17023,5028514.47257,4289045.17023,5677910.63858
398,0.00737037037,7188783.99281,8555500.74619,6450802.02731,7719942.13683,6450802.02731,8555500.74619,7087458.99281,8454175.74619,6349477.02731,7618617.13683,6349477.02731,8454175.74619,2476.46946086,2529.49910204,2386.85018728,2436.71323206,2386.85018728,2529.49910204,2360.368171515,2684.984768293,2208.088033213,2521.492269815,2208.088033213,2684.984768293,4727543.65457,5510959.29958,4221533.51983,4946444.75024,4221533.51983,5510959.29958
399,0.007388888889,6960992.77569,8285000.04168,6298432.95843,7534075.85229,6298432.95843,8285000.04168,6859667.77569,8183675.04168,6197107.95843,7432750.85229,6197107.95843,8183675.04168,2461.94518225,2515.20356762,2392.29971887,2441.68530104,2392.29971887,2515.20356762,2307.596171578,2624.766713017,2163.647438636,2470.137927237,2163.647438636,2624.766713017,4588222.23384,5349676.67136,4148360.62583,4857983.95304,4148360.62583,5349676.67136
400,0.007407407407,6741744.4858,8024665.03995,6144300.4346,7346424.3465,6144300.4346,8024665.03995,6640419.4858,7923340.03995,6042975.4346,7245099.3465,6042975.4346,7923340.03995,2447.53228186,2501.01907899,2395.24050784,2444.21433805,2395.24050784,2501.01907899,2256.343338728,2566.294833072,2119.803793882,2419.512863142,2119.803793882,2566.294833072,4453694.33401,5193947.09115,4070533.11368,4764328.72581,4070533.11368,5193947.09115
401,0.007425925926,6530805.54023,7774213.67097,5989393.6821,7158175.61968,5989393.6821,7774213.67097,6429480.54023,7672888.67097,5888068.6821,7056850.61968,5888068.6821,7672888.67097,2433.23848489,2486.95258684,2395.35932057,2444.8533152,2395.35932057,2486.95258684,2206.589324154,2509.544405575,2076.637325356,2369.707831438,2076.637325356,2509.544405575,4323853.05523,5043643.86507,3989012.128,4666613.66417,3989012.128,5043643.86507
402,0.007444444444,6327932.16492,7533352.15364,5834611.17538,6970400.92102,5834611.17538,7533352.15364,6226607.16492,7432027.15364,5733286.17538,6869075.92102,5733286.17538,7432027.15364,2419.07075971,2473.01039818,2393.11693684,2443.84365971,2393.11693684,2473.01039818,2158.310091166,2454.486745736,2034.218354766,2320.801669009,2034.218354766,2454.486745736,4198583.82913,4898631.67524,3904700.10757,4565896.632,3904700.10757,4898631.67524
403,0.007462962963,6132873.82849,7301778.76965,5680755.45311,6784050.44583,5680755.45311,7301778.76965,6031548.82849,7200453.76965,5579430.45311,6682725.44583,5579430.45311,7200453.76965,2405.03551427,2459.19808766,2389.14321105,2440.93096175,2389.14321105,2459.19808766,2111.478357619,2401.089920887,1992.607341462,2272.861560253,1992.607341462,2401.089920887,4077766.34417,4758768.69524,3818430.21307,4463147.90944,3818430.21307,4758768.69524
404,0.007481481481,5945375.35814,7079187.22667,5528531.1596,6599952.28676,5528531.1596,7079187.22667,5844050.35814,6977862.22667,5427206.1596,6498627.28676,5427206.1596,6977862.22667,2391.13850376,2445.52065496,2383.66075314,2436.35023231,2383.66075314,2445.52065496,2066.060547033,2349.319423512,1951.855143578,2225.943422727,1951.855143578,2349.319423512,3961275.86998,4623908.48027,3730959.2026,4359243.04191,3730959.2026,4623908.48027
405,0.0075,5765179.64731,6865269.44637,5378545.60394,6418814.27612,5378545.60394,6865269.44637,5663854.64731,6763944.44637,5277220.60394,6317489.27612,5277220.60394,6763944.44637,2377.3848797,2431.98255121,2376.88214293,2430.32732286,2376.88214293,2431.98255121,2021.967993568,2299.138747317,1912.003399323,2180.092404645,1912.003399323,2299.138747317,3848984.79528,4493901.55866,3642829.35137,4254959.1301,3642829.35137,4493901.55866
406,0.007518518519,5592029.5853,6659717.47848,5231311.38721,6241228.29945,5231311.38721,6659717.47848,5490704.5853,6558392.47848,5129986.38721,6139903.29945,5129986.38721,6558392.47848,2363.77922927,2418.58772989,2369.00716334,2423.07575907,2363.77922927,2423.07575907,1979.234793663,2250.509757549,1873.084984554,2135.343482196,1873.084984554,2250.509757549,3740763.78342,4368944.38047,3553929.51807,4150974.19934,3553929.51807,4368944.38047
407,0.007537037037,5425669.44698,6462225.68206,5087250.80035,6067676.62683,5087250.80035,6462225.68206,5324344.44698,6360900.68206,4985925.80035,5966351.62683,4985925.80035,6360900.68206,2350.32573808,2405.3396477,2360.22073635,2414.79431048,2350.32573808,2414.79431048,1937.826824671,2203.393191003,1835.124545382,2091.722141917,1835.124545382,2203.393191003,3636482.67475,4248629.66722,3465761.37613,4047869.21585,3465761.37613,4248629.66722
408,0.007555555556,5265846.56887,6272491.57905,4946701.63911,5898539.79734,4946701.63911,6272491.57905,5164521.56887,6171166.57905,4845376.63911,5797214.79734,4845376.63911,6171166.57905,2337.0280398,2392.24138991,2350.69154026,2405.66528344,2337.0280398,2405.66528344,1897.709276787,2157.748785344,1798.139097623,2049.245131046,1798.139097623,2157.748785344,3536011.46551,4132676.65068,3378742.28595,3946132.27722,3378742.28595,4132676.65068
409,0.007574074074,5112312.24655,6090217.93124,4809924.06512,5734105.60149,4809924.06512,6090217.93124,5010987.24655,5988892.93124,4708599.06512,5632780.60149,4708599.06512,5988892.93124,2323.88938533,2379.29563265,2340.57126176,2395.85349843,2323.88938533,2395.85349843,1858.846860895,2113.535832865,1762.138677473,2007.921257118,1762.138677473,2113.535832865,3439220.93648,4020937.46277,3293216.07597,3846164.49164,3293216.07597,4020937.46277
410,0.007592592593,4964822.64953,5915113.97716,4676569.61707,5574578.73375,4676569.61707,5915113.97716,4863497.64953,5813788.97716,4575244.61707,5473253.73375,4575244.61707,5813788.97716,2310.91266586,2366.50469993,2329.99441642,2385.50588882,2310.91266586,2385.50588882,1821.204056144,2070.713524906,1727.12702664,1967.752217494,1727.12702664,2070.713524906,3345983.24801,3913265.9018,3209458.86401,3748287.07302,3209458.86401,3913265.9018
411,0.007611111111,4823139.55889,5746895.78658,4547277.72853,5420090.70212,4547277.72853,5746895.78658,4721814.55889,5645570.78658,4445952.72853,5318765.70212,4445952.72853,5645570.78658,2298.10031446,2353.87060614,2319.07866292,2374.75164208,2298.10031446,2374.75164208,1784.745317226,2029.241033928,1693.102294989,1928.733429182,1693.102294989,2029.241033928,3256172.45502,3809518.02693,3127685.57529,3653530.42771,3127685.57529,3809518.02693
412,0.00762962963,4687031.02561,5585287.00369,4422234.79857,5270709.71504,4422234.79857,5585287.00369,4585706.02561,5483962.00369,4320909.79857,5169384.71504,4320909.79857,5483962.00369,2285.45446347,2341.39506007,2307.925514,2363.70279292,2285.45446347,2363.70279292,1749.435289393,1989.077740338,1660.057744237,1890.854860285,1660.057744237,1989.077740338,3169553.25935,3709552.55959,3048056.8218,3561440.10611,3048056.8218,3709552.55959
413,0.007648148148,4556271.68324,5430019.34096,4301455.70366,5126450.33244,4301455.70366,5430019.34096,4454946.68324,5328694.34096,4200130.70366,5025125.33244,4200130.70366,5328694.34096,2272.97689786,2329.07950478,2296.62132724,2352.45517346,2272.97689786,2352.45517346,1715.238921281,1950.183404173,1627.982437472,1854.10187544,1627.982437472,1950.183404173,3086078.16742,3613231.38648,2970685.85407,3471873.06176,2970685.85407,3613231.38648
414,0.007666666667,4430642.95716,5280832.88179,4184917.90026,4987282.39341,4184917.90026,5280832.88179,4329317.95716,5179507.88179,4083592.90026,4885957.39341,4083592.90026,5179507.88179,2260.669104,2316.92511932,2285.23855277,2341.08965325,2260.669104,2341.08965325,1682.121538424,1912.51828895,1596.861796625,1818.455975281,1596.861796625,1912.51828895,3005679.48302,3520419.63131,2895645.35352,3384930.60552,2895645.35352,3520419.63131
415,0.007685185185,4309933.44838,5137773.05374,4072568.27434,4853139.31114,4072568.27434,5137773.05374,4208608.44838,5036448.05374,3971243.27434,4751814.31114,3971243.27434,5036448.05374,2248.53228102,2304.93286679,2273.83710361,2329.67344715,2248.53228102,2329.67344715,1650.04902724,1876.04339345,1566.678525335,1783.895511323,1566.678525335,1876.04339345,2928241.22998,3430986.03505,2822973.8628,3300672.2276,2822973.8628,3430986.03505
416,0.007703703704,4193939.0675,5000399.18509,3963344.29239,4722769.12083,3963344.29239,5000399.18509,4092614.0675,4899074.18509,3862019.29239,4621444.12083,3862019.29239,4899074.18509,2236.56735696,2293.10349511,2261.92264047,2317.63255136,2236.56735696,2317.63255136,1618.987909405,1840.72026155,1537.302432861,1750.280640394,1537.302432861,1840.72026155,2853650.69903,3344803.06768,2751631.59861,3217787.77705,2751631.59861,3344803.06768
417,0.007722222222,4082462.96151,4868345.74671,3858427.5753,4597555.5075,3858427.5753,4868345.74671,3981137.96151,4767020.74671,3757102.5753,4496230.5075,3757102.5753,4767020.74671,2224.77499398,2281.43755341,2250.21922436,2305.80304971,2224.77499398,2305.80304971,1588.905376824,1806.511415103,1508.853603353,1717.733958563,1508.853603353,1806.511415103,2781798.58938,3261747.07871,2682963.65818,3137995.74057,2682963.65818,3261747.07871
418,0.007740740741,3975315.5758,4741390.41773,3757632.23669,4477274.79644,3757632.23669,4741390.41773,3873990.5758,4640065.41773,3656307.23669,4375949.79644,3656307.23669,4640065.41773,2213.15563728,2269.93540139,2238.7244033,2294.18225126,2213.15563728,2294.18225126,1559.769357343,1773.380185284,1481.301887124,1686.219808502,1481.301887124,1773.380185284,2712579.02712,3181698.26962,2616861.32024,3061171.49581,2616861.32024,3181698.26962
419,0.007759259259,3872314.61104,4619319.4425,3660779.93983,4361712.49357,3660779.93983,4619319.4425,3770989.61104,4517994.4425,3559454.93983,4260387.49357,3559454.93983,4517994.4425,2201.70948961,2258.59723838,2227.43561337,2282.76801783,2201.70948961,2282.76801783,1531.548563646,1741.290747027,1454.617014677,1655.703452736,1454.617014677,1741.290747027,2645889.62953,3104540.8341,2553219.88937,2987194.30838,2553219.88937,3104540.8341
420,0.007777777778,3773284.92149,4501927.47416,3567699.75733,4250663.10391,3567699.75733,4501927.47416,3671959.92149,4400602.47416,3466374.75733,4149338.10391,3466374.75733,4400602.47416,2190.43651182,2247.42309812,2216.3501971,2271.557818,2190.43651182,2271.557818,1504.212522606,1710.208308408,1428.769918445,1626.151103612,1428.769918445,1710.208308408,2581631.50318,3030162.92159,2491938.64419,2915948.32764,2491938.64419,3030162.92159
421,0.007796296296,3678058.39161,4389017.42682,3478227.99945,4143929.91756,3478227.99945,4389017.42682,3576733.39161,4287692.42682,3376902.99945,4042604.91756,3376902.99945,4287692.42682,2179.33658496,2236.41286498,2205.46541983,2260.54895255,2179.33658496,2260.54895255,1477.731597045,1680.099019993,1403.732487269,1597.529943362,1403.732487269,1680.099019993,2519709.22266,2958456.62427,2432920.7824,2847322.32754,2432920.7824,2958456.62427
422,0.007814814815,3586473.78687,4280400.26444,3392208.02857,4041324.77061,3392208.02857,4280400.26444,3485148.78687,4179075.26444,3290883.02857,3939999.77061,3290883.02857,4179075.26444,2168.40926659,2225.56627986,2194.77848437,2249.73869683,2168.40926659,2249.73869683,1452.077000257,1650.930016485,1379.477326346,1569.808135866,1379.477326346,1650.930016485,2460030.81753,2889317.916,2375979.86349,2781209.32765,2375979.86349,2889317.916
423,0.007833333333,3498376.58422,4175894.83181,3309490.05834,3942667.78713,3309490.05834,4175894.83181,3397051.58422,4074569.83181,3208165.05834,3841342.78713,3208165.05834,4074569.83181,2157.65404614,2214.88295715,2184.28654408,2239.12427134,2157.65404614,2239.12427134,1427.220803763,1622.669424424,1355.977867808,1542.954831208,1355.977867808,1622.669424424,2402507.71135,2822646.62095,2321073.8653,2717506.63914,2321073.8653,2822646.62095
424,0.007851851852,3413618.78717,4075327.61522,3229930.92819,3847976.08133,3229930.92819,4075327.61522,3312293.78717,3974002.61522,3128605.92819,3746651.08133,3128605.92819,3974002.61522,2147.07020929,2204.36237534,2173.98671441,2228.70285386,2147.07020929,2228.70285386,1403.13593938,1595.286363337,1333.208372115,1516.940164227,1333.208372115,1595.286363337,2347054.6706,2758346.31582,2268174.66261,2656115.75879,2268174.66261,2758346.31582
425,0.00787037037,3331971.94732,3978532.52014,3153393.87532,3757111.00429,3153393.87532,3978532.52014,3230646.94732,3877207.52014,3052068.87532,3655786.00429,3052068.87532,3877207.52014,2136.65690897,2194.00391334,2163.87608319,2218.4715901,2136.65690897,2218.4715901,1379.796203145,1568.75094128,1311.14392479,1491.735247929,1311.14392479,1568.75094128,2293589.73166,2696324.28149,2217199.47876,2596942.25384,2217199.47876,2696324.28149
426,0.007888888889,3253372.02767,3885350.62321,3079748.30208,3669668.78921,3079748.30208,3885350.62321,3152047.02767,3784025.62321,2978423.30208,3568343.78921,2978423.30208,3784025.62321,2126.41314919,2183.80683499,2153.95170595,2208.42759944,2126.41314919,2208.42759944,1357.176231285,1543.034253842,1289.733708713,1467.312168004,1289.733708713,1543.034253842,2242034.10829,2636491.38825,2168069.03996,2539895.63693,2168069.03996,2636491.38825
427,0.007907407407,3177712.74837,3795629.92418,3008869.53522,3585502.41298,3008869.53522,3795629.92418,3076387.74837,3694304.92418,2907544.53522,3484177.41298,2907544.53522,3694304.92418,2116.33784521,2173.7703027,2144.210615,2198.56797424,2116.33784521,2198.56797424,1335.251508452,1518.10835933,1268.970656066,1443.643962074,1268.970656066,1518.10835933,2192312.15487,2578762.00597,2120707.45491,2484889.23054,2120707.45491,2578762.00597
428,0.007925925926,3104869.58876,3709225.13395,2940638.59941,3504471.53241,2940638.59941,3709225.13395,3003544.58876,3607900.13395,2839313.59941,3403146.53241,2839313.59941,3607900.13395,2106.42975052,2163.89339086,2134.6498665,2188.88981599,2106.42975052,2188.88981599,1313.998339903,1493.946249737,1248.845234766,1420.704594022,1248.845234766,1493.946249737,2144351.21202,2523053.93037,2075042.12896,2431840.0602,2075042.12896,2523053.93037
429,0.007944444444,3034723.55414,3625997.23241,2874941.9852,3426442.21947,2874941.9852,3625997.23241,2933398.55414,3524672.23241,2773616.9852,3325117.21947,2773616.9852,3524672.23241,2096.6875293,2154.17504704,2125.26652051,2179.39022624,2096.6875293,2179.39022624,1293.393845917,1470.536463731,1229.335572596,1398.468944408,1229.335572596,1470.536463731,2098081.55812,2469288.13566,2031003.62353,2380668.7116,2031003.62353,2469288.13566
430,0.007962962963,2967160.96832,3545813.56565,2811671.41878,3351286.69443,2811671.41878,3545813.56565,2865835.96832,3444488.56565,2710346.41878,3249961.69443,2710346.41878,3444488.56565,2087.10975283,2144.6141775,2116.05764588,2170.06631235,2087.10975283,2170.06631235,1273.415950528,1447.872783995,1210.420569953,1376.912789021,1210.420569953,1447.872783995,2053436.31055,2417388.92738,1988525.53443,2331299.1982,1988525.53443,2417388.92738
431,0.007981481481,2902073.2598,3468547.23031,2750723.63602,3278883.06343,2750723.63602,3468547.23031,2800748.2598,3367222.23031,2649398.63602,3177558.06343,2649398.63602,3367222.23031,2077.69490651,2135.20957036,2107.02034066,2160.9151926,2077.69490651,2160.9151926,1254.043354302,1425.894420189,1192.079880773,1356.01277531,1192.079880773,1425.894420189,2010351.32985,2367283.56272,1947544.3896,2283658.82947,1947544.3896,2367283.56272
432,0.008,2839356.75659,3394077.09082,2692000.16173,3209115.06144,2692000.16173,3394077.09082,2738031.75659,3292752.09082,2590675.16173,3107790.06144,2590675.16173,3292752.09082,2068.44140329,2125.95998912,2098.15174868,2151.93400075,2068.44140329,2151.93400075,1235.255504704,1404.578169963,1174.293892445,1335.746401977,1174.293892445,1404.578169963,1968765.1316,2318902.3602,1907999.54733,2237678.08024,1907999.54733,2318902.3602
433,0.008018518519,2778912.4757,3322287.404,2635407.09497,3141871.80178,2635407.09497,3322287.404,2677587.4757,3220962.404,2534082.09497,3040546.80178,2534082.09497,3220962.404,2059.34758649,2116.86410193,2089.44898718,2143.11989004,2059.34758649,2143.11989004,1217.032595819,1383.901658129,1157.043705029,1316.091994393,1157.043705029,1383.901658129,1928618.78534,2272178.45308,1869832.9912,2193290.4623,1869832.9912,2272178.45308
